,Kmax,error_Kmax,Ku,error_Ku,Vhalf,error_Vhalf
0,9.997,4.35976368689509E-08,0.0004161,3.71004928781988E-08,-199.5,4.38476848391832E-08
1,12.9154966501488,0.00962702439925829,0.000643405434831573,0.00344015285627256,-190.208333333333,4.72645346811939E-08
2,30.302710828664,0.0382745418905519,0.00105015259541781,0.00697982118435114,-180.25,4.30923876875304E-08
3,71.0970943231243,0.0555373685378016,0.00171403661511103,0.0098651610925332,-170.291666666667,4.4793971326992E-08
4,166.810053720006,0.060563475964402,0.00279761391892997,0.0120179006528575,-160.333333333333,5.81080790461675E-08
5,391.374560198038,0.0622901855316073,0.00456620562850912,0.0134982932623728,-150.375,1.24666849468744E-07
6,918.254283565628,0.0629559342636512,0.00745286320630088,0.0144420733321099,-140.416666666667,4.2495744322722E-07
7,2154.43469003188,0.0632282596209985,0.0121644039911468,0.0150069332136395,-130.458333333333,1.73714781734283E-06
8,5054.79682119124,0.0633423551301244,0.0198544801325117,0.0153227226004265,-120.5,7.47622447251756E-06
9,11859.7101233767,0.0640556305627442,0.0324060580049133,0.0154858581747522,-110.541666666667,3.22762941873709E-05
10,27825.5940220713,0.06819575485235,0.052892475069049,0.0155664404366531,-100.583333333333,0.000137900615707797
11,65285.2114112785,0.0769302569215495,0.0863299670236289,0.0156073261828027,-90.625,0.000562935934767071
12,153174.046370208,0.095292391226039,0.140905926534379,0.0156294489001068,-80.6666666666667,0.00194153650811542
13,359381.366380463,0.131115701419017,0.229983640872669,0.0156420924079498,-70.7083333333333,0.00436827078776944
14,843190.929286625,0.18852673210944,0.375374381830165,0.0156495485960292,-60.75,0.00607355400503844
15,1978318.88278416,0.250923722064328,0.612678040923751,0.0156539681154833,-50.7916666666667,0.00666794542877193
16,4641588.83361277,0.290346714875715,1,0.0156566959827624,-40.8333333333333,0.00683226126526159
17,10890229.6226373,0.309673854880543,0.000394200381332302,0.000426665190289286,-30.875,0.00691920345808347
18,25550970.903525,0.32408119966742,0.00024151791736607,0.00410732070369073,-20.9166666666667,0.00714645762543582
19,59948425.0318941,0.344156091074199,0.000147972724459828,0.00743642865401024,-10.9583333333333,0.00806979865976036
20,140652724.210523,0.379876567727334,9.06596389321975E-05,0.0109644899019755,-1,0.0115162346887969
21,330003479.112527,0.436713323749202,5.55451699718334E-05,0.0153167023772652,-0.75,0.0116627261611443
22,774263682.681128,0.499335828001612,3.40313059211196E-05,0.0206617411640782,-0.5,0.0118127860843737
23,1816599788.37533,0.539545395966065,2.08502338418284E-05,0.026813536544597,-0.25,0.011966442862336
24,4262158829.01533,0.55921162780128,1.27744804230135E-05,0.0334172197471324,-200.166666666667,4.4676571155605E-08
25,10000000000,0.573571986153534,7.82664363939074E-06,0.0400468397782666,-210.125,4.7673260894962E-08
26,5.50478980785497,0.0298319639298191,4.79521269199025E-06,0.0461906868409925,-220.083333333333,4.67477746966036E-08
27,2.34622884814226,0.0815643498189624,2.93792151794129E-06,0.0513676165299674,-230.041666666667,4.12474104513551E-08
28,1,0.127971333504182,0.0000018,0.0553432848428111,-240,4.03943319066568E-08
